trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
34,False,"{'a': 0.8, 'e': 0.6004955788122659}",25,0,-52.336457308230386,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
35,False,"{'a': 0.8, 'e': 0.5915553643668151}",35,22,-39.72989149908453,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 1}",1
36,False,"{'a': 0.8, 'e': 0.5827482523739896}",35,25,-6.74409126703759,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
37,False,"{'a': 0.8, 'e': 0.5740722611964361}",20,12,-22.897803889248443,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
38,False,"{'a': 0.8, 'e': 0.5655254386995371}",35,2,-98.53845920901838,"{0: 23, 1: 1, 2: 7, 3: 1, 4: 1}",1
39,False,"{'a': 0.8, 'e': 0.5571058618121739}",20,10,-17.743809839072437,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
40,False,"{'a': 0.8, 'e': 0.5488116360940264}",25,0,-67.72185333995141,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
41,False,"{'a': 0.8, 'e': 0.5406408953093166}",20,0,-26.2813435785388,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
42,False,"{'a': 0.8, 'e': 0.5325918010068972}",20,3,-5.831306102432613,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
43,False,"{'a': 0.8, 'e': 0.5246625421065929}",20,6,-26.110296976323923,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 0}",1
44,False,"{'a': 0.8, 'e': 0.5168513344916993}",30,5,-31.082222202432096,"{0: 20, 1: 2, 2: 1, 3: 2, 4: 0}",1
45,False,"{'a': 0.8, 'e': 0.5091564206075492}",25,14,-12.605444737185136,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
46,False,"{'a': 0.8, 'e': 0.5015760690660556}",20,5,-8.364876437293846,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
47,False,"{'a': 0.8, 'e': 0.4941085742561417}",20,8,-14.526909600254989,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
48,False,"{'a': 0.8, 'e': 0.4867522559599717}",20,8,-11.34215011670009,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
49,False,"{'a': 0.8, 'e': 0.4795054589748941}",30,0,24.801528066972956,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
50,False,"{'a': 0.8, 'e': 0.4723665527410147}",25,10,-10.816343596906425,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
51,False,"{'a': 0.8, 'e': 0.4653339309743134}",25,14,-6.644408836534868,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
52,False,"{'a': 0.8, 'e': 0.4584060113052235}",25,0,-67.165128038351,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
53,False,"{'a': 0.8, 'e': 0.4515812349225923}",20,11,-57.83188507069402,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 1}",1
54,False,"{'a': 0.8, 'e': 0.44485806622294116}",20,0,-13.33626532894161,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
55,False,"{'a': 0.8, 'e': 0.43823499246494924}",25,0,-70.89379203283286,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",1
